id,Depth,age,N,C,S,OM,MM,MM_no_CaCO3,CaCO3,TOC,TOC_N,microcharcoal,P,Na,K,Ca,Mg,Fe,Mn,Cu,Zn ,Pb,FeMn,NaK,CuZn,CaFe,FeS,erosion,CaMg,TOCS,FeP
97,"0,96",330,"2,18540477752686","34,0035438537598","0,776174306869507","64,2822252374492","35,7177747625508","31,5777747625508","4,14","33,6922289566078","17,9864164540991",19112,"1,21896491655743","0,283292402701438","7,56613053315853","17,4108250494829","5,8173156344625","13,5596336769158","0,0594690860029589","26,6975231699744","101,309331309554","27,230262861348","228,011469290804","0,0374421775384274","0,263524818739543","1,2840188359309","1,74698306255524","0,784956401059717","2,99293112897966","43,4080704017329","11,1238916663908"
99,"0,98",,"2,26407861709595","35,2146186828613","0,70265918970108","66,9077754974365","33,0922245025635","26,4939345025635","6,59829","35,2146186828613","18,1458901146146",15667,"1,3338","0,253392","6,882193","18,00291","5,62781","13,6255162","0,052398231","24,05923","100,29832","21,33782","260,037713868623","0,0368184966623284","0,23987669982907","1,32126443767319","1,93913584276845","0,708962884333699","3,19891929542753","50,1162145162323","10,2155617034038"
101,1,,"2,26160740852356","36,4753608703613","0,684481561183929","68,61234512","31,38765488","23,28765488","8,1","36,2153128198013","18,6819330934855",12556,"1,78891512264353","0,258885224859511","6,41724830814023","18,2104280000835","5,41367506639603","13,0010944258634","0,0587074687064642","22,8219490433231","99,8571115505626","27,163036842627","221,455544112599","0,0403420925026569","0,228546056349399","1,40068423500233","1,89940754625673","0,663894807927653","3,3637829712241","52,9091138074789","7,26758595827137"
103,"1,02",,"2,19095087051392","36,6585350036621","0,704429566860199","68,1848751068115","31,8151248931885","23,5163148931885","8,29881","36,6585350036621","19,5204244025672",16117,"1,22091","0,22121","5,72871","20,22981","4,762661","12,002911","0,064837129","23,09482","120,38212","34,9212","185,124035951684","0,0386142779089882","0,191845931937401","1,68540864795215","1,70391925107569","0,529544320979782","4,24758554094024","52,0400288804705","9,83111859187"
105,"1,04",,"2,42914342880249","39,561351776123","0,673777103424072","73,1036006185112","26,8963993814888","13,9363993814888","12,96","39,151639584059","18,8037117555411",12654,"0,885354896194834","0,199038182053682","4,85110168261156","21,8951502688172","4,13880261227113","10,0404355423711","0,0682455409609041","24,0215374915652","140,418752625565","32,4802077322218","147,122220748795","0,0410294805336942","0,171070722694853","2,18069725923927","1,49017167418521","0,419679352008063","5,29021369704859","58,1077026587785","11,3405771917271"
107,"1,06",,"2,27702856063843","37,0725517272949","0,583103835582733","67,4720441436768","32,5279558563232","20,7452458563232","11,78271","37,0725517272949","18,9946279533639",17445,"2,3392","0,17782","4,22381","21,1292","4,009281","11,2716628","0,071928221","21,02932","137,29831","30,92811","156,707098316807","0,0420994315558702","0,153165177342678","1,87454152727138","1,93304555932744","0,398070490127406","5,27007211517477","63,5779589586234","4,81859729822161"
109,"1,08",,"2,10598945617676","39,4606018066406","0,634408414363861","76,0087241003274","23,9912758996726","12,6512758996726","11,34","39,3384294608486","21,7925280852584",12887,"3,8928890397471","0,151909440115293","3,99874899996225","21,180253939366","3,76386752399084","9,16564716984304","0,0775258926515176","22,8614439220574","135,226764820819","26,6040123479078","118,226915632472","0,0379892411643559","0,169060052219321","2,31083016255019","1,44475498154193","0,373674743783798","5,62725808078084","62,0080512335171","2,35445888034828"
111,"1,1",,"2,26326489448547","37,9998741149902","0,528645575046539","73,7197557830811","26,2802442169189","13,9753242169189","12,30492","37,9998741149902","19,5881562849793",27665,"1,982","0,198982","5,3392","19,99281","5,347261","10,22871","0,075928312","25,029321","125,9212","27,8821","134,715361511","0,0372681300569374","0,19876971471047","1,95457784999281","1,9348899305739","0,544467886205091","3,73888800266155","71,881570391741","5,16080221997982"
113,"1,12",,"2,19425439834595","32,4582099914551","0,457082062959671","64,9573748018677","35,0426251981323","21,7226251981323","13,32","32,0837096079031","17,0586394042411",16554,"1,71791902867052","0,259805358903783","6,67561594827439","19,8016325464082","5,18342706227529","12,0423109579721","0,0748018881006577","26,1034341967604","127,789326818497","34,208079266281","160,989398312611","0,0389185598627706","0,204269283254273","1,6443382516459","2,63460589111646","0,612012587399098","3,82018157263626","70,1924494699191","7,00982453596288"
115,"1,14",,"2,09651827812195","30,5825290679932","0,433241009712219","58,7184558105469","41,2815441894531","31,2986531894531","9,982891","30,5825290679932","17,0185099831105",18556,"1,4452","0,277281","7,88272","19,78271","5,476372","13,82122","0,070298374","30,928302","130,29812","40,3942","196,607961373331","0,0351758022611484","0,237365681101155","1,43132878284261","3,19019199248491","0,689307632776298","3,61237512718274","70,5901066205797","9,56353445889842"
117,"1,16",,"2,14539957046509","31,0445556640625","0,430181592702866","61,8874773139745","38,1125226860255","30,7325226860255","7,38","30,5884046453105","16,6339513522226",18155,"1,13322988761801","0,289999874668428","7,73919389158173","19,2866897061137","5,38938579039144","12,6074934534468","0,0699847459347088","31,5835563359356","140,054393902579","40,965231000239","180,146305956569","0,0374715866705283","0,225509214354995","1,52977987078318","2,93073754602863","0,69574301039271","3,57864336609549","71,1057961665005","11,1252743959543"
119,"1,18",,"2,16389060020447","31,9818649291992","0,424483984708786","63,3240925598145","36,6759074401855","30,2218584401855","6,454049","31,9818649291992","17,2430971081471",15334,"1,3382","0,29881","8,22192","19,55748","5,266172","12,882981","0,07299381275","33,02932","142,0382","38,9209","176,494150868972","0,0363430926109716","0,232538288995496","1,51808653602765","3,03497457244194","0,704942661324465","3,71379438423204","75,3429247775747","9,62709684651024"
121,"1,2",,"2,01516604423523","29,6928749084473","0,388049840927124","59,6495497688002","40,3504502311998","25,5364502311998","14,814","29,2735554127417","16,9477256787673",12663,"1,37469025426903","0,310593837653371","8,73448500185065","19,4041994324335","5,85501409587611","13,4868218278517","0,0739227526783537","34,2501172255585","148,71893111143","40,714377629001","182,4448","0,0355594906382646","0,230300991068151","1,43875256009995","3,47553855340571","0,767879808041711","3,3141166041087","75,4376173503941","9,81080776994606"
